Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
400,Euro Truck Simulator 2,PC,2013,SCS Software  ,SCS Software  ,8.5,,,0.13,,0.01,0.14
401,WarioWare,Series,2003,Nintendo  ,Nintendo|Intelligent Systems  ,,,,,,,
402,Deus Ex,Series,2000,Eidos Interactive  ,Ion Storm|Eidos Montreal|N-Fusion Interactive|Square Enix Montreal|Feral Interactive  ,,,,,,,
403,Mario Kart: Super Circuit,GBA,2001,Nintendo  ,Intelligent Systems  ,9.3,,2.62,1.64,0.99,0.23,5.47
404,Super Mario Sunshine,GC,2002,Nintendo  ,Nintendo EAD  ,9.2,,4.01,1.26,0.87,0.17,6.31
405,Mario vs. Donkey Kong,Series,2004,Nintendo  ,Nintendo Software Technology Corporation  ,,,,,,,
406,Super Mario 3D World,WiiU,2013,Nintendo  ,Nintendo EAD Tokyo  ,9.5,,2.31,1.54,0.79,0.37,5.01
407,Age of Empires II: HD Edition,PC,2013,Microsoft Studios  ,Hidden Path Entertainment  ,,,,,,,
408,New Super Mario Bros. U,WiiU,2012,Nintendo  ,Nintendo EAD  ,8.4,,2.3,1.63,1.32,0.38,5.62
409,Link's Crossbow Training,Wii,2007,Nintendo  ,Nintendo EAD  ,6.9,,3.05,1.17,0.29,0.46,4.98
410,Red Dead Redemption 2,XOne,2018,Rockstar Games  ,Rockstar Games  ,,,3.76,1.47,,0.54,5.77
411,Destiny,PS4,2014,Activision  ,Bungie  ,,,2.53,2.13,0.16,0.94,5.76
412,Tekken 2,PS,1996,Namco  ,Namco  ,9.1,,2.26,1.89,1.36,0.23,5.74
413,Trials,Series,N/A,Unknown  ,RedLynx  ,,,,,,,
414,Uncharted: The Nathan Drake Collection,PS4,2015,Sony Computer Entertainment  ,Bluepoint Games  ,,,2.55,2.11,0.1,0.94,5.7
415,Super Mario World: Super Mario Advance 2,GBA,2002,Nintendo  ,Nintendo EAD  ,9.4,,3.21,1.11,0.95,0.2,5.46
416,LEGO Star Wars: The Complete Saga,Wii,2007,LucasArts  ,Traveller's Tales  ,8.0,,3.57,1.57,,0.52,5.66
417,Cooking Mama,DS,2006,Majesco  ,Office Create  ,6.6,,3.09,1.92,0.07,0.58,5.66
418,Tetris,NES,1989,Nintendo  ,Nintendo  ,,,2.97,0.69,1.81,0.11,5.58
419,Super Mario Advance,GBA,2001,Nintendo  ,Nintendo EAD  ,8.2,,3.14,1.24,0.91,0.2,5.49
420,Assassin's Creed II,PS3,2009,Ubisoft  ,Ubisoft Montreal  ,9.0,,2.54,1.95,0.21,0.86,5.57
421,Super Smash Bros.,N64,1999,Nintendo  ,HAL Laboratory  ,8.4,,2.95,0.6,1.97,0.04,5.55
422,Assassin's Creed,X360,2007,Ubisoft  ,Ubisoft Montreal  ,8.2,8.0,3.28,1.64,0.07,0.56,5.55
423,Batman: Arkham City,PS3,2011,Warner Bros. Interactive  ,Rocksteady Studios  ,9.6,,2.72,1.89,0.11,0.82,5.54
424,Forza Motorsport 3,X360,2009,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,9.8,2.99,1.9,0.1,0.51,5.5
425,Dragon Quest IX: Sentinels of the Starry Skies,DS,2010,Nintendo  ,Level 5  ,8.6,,0.63,0.67,4.35,0.15,5.79
426,Final Fantasy IX,PS,2000,Square  ,SquareSoft  ,9.2,,1.62,0.77,2.78,0.14,5.3
427,Final Fantasy X-2,PS2,2003,Square Enix  ,Square Enix  ,8.3,,1.92,1.08,2.11,0.17,5.29
428,Sid Meier's Civilization VI,PC,2016,2K Games  ,Firaxis Games  ,,,0.12,0.29,,0.03,0.44
429,Tomb Raider (2013),PC,2013,Square Enix  ,Crystal Dynamics  ,8.8,,0.06,0.26,,0.02,0.34
430,Super Mario Maker 2,NS,2019,Nintendo  ,Nintendo  ,,,,,,,
431,Pokémon Stadium,N64,2000,Nintendo  ,HAL Laboratory  ,7.5,,3.18,1.24,0.94,0.09,5.45
432,Minecraft,XOne,2014,Microsoft Studios  ,Mojang  ,,,3.23,1.71,,0.49,5.43
433,Call of Duty: World at War,PS3,2008,Activision  ,Treyarch  ,8.4,,2.75,1.84,,0.84,5.43
434,Super Mario Advance 4: Super Mario Bros. 3,GBA,2003,Nintendo  ,Nintendo EAD  ,9.2,,2.93,1.25,0.83,0.2,5.2
435,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Universal Interactive  ,Traveller's Tales  ,6.9,,2.07,2.29,0.24,0.82,5.42
436,Chrono,Series,1995,Square  ,Square|Square Enix  ,,,,,,,
437,Super Smash Bros. for Wii U,WiiU,2014,Nintendo  ,Bandai Namco Games  ,9.2,,2.68,1.15,0.85,0.39,5.07
